Total_Relationship_Count,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,L-3,Attrition_Flag
4,0,20,2.333,-0.031221667799538232,0
6,2264,31,0.722,-0.0083229200069614,0
6,1587,26,1.364,0.43302939731403906,0
3,0,17,3.25,0.09817538544593667,0
5,680,29,0.611,0.04617737588927861,0
2,2517,30,1.143,0.932679422923234,0
2,0,16,0.6,0.04617737588927861,1
4,0,21,0.75,0.004041966780675716,0
4,1374,23,1.3,0.44548223873412723,0
3,1010,40,1.0,0.1286185492363158,0
3,1811,25,2.571,0.004041966780675716,0
2,1690,26,1.6,0.1959366627335528,0
5,1490,28,1.0,0.10971988880397891,0
6,1696,24,0.714,-0.031221667799538232,0
4,1914,43,0.483,0.1755744291347535,0
6,2298,37,1.176,0.04617737588927861,0
3,886,28,0.556,-0.0894314214552817,0
5,605,16,0.143,0.049585596241942746,1
4,2204,28,0.556,0.43302939731403906,0
6,1430,27,0.588,0.1449300202704154,0
3,2020,27,1.7,0.44934086834813863,0
5,1227,40,0.6,0.09817538544593667,0
6,1549,30,1.143,0.08144101046949255,0
2,808,19,0.9,0.04617737588927861,1
3,2179,38,1.923,0.5810910360786875,0
1,0,15,0.364,0.020920343480814136,1
4,1880,29,1.417,0.500347510811276,0
4,2016,33,0.833,0.004041966780675716,0
4,1634,23,0.917,0.6216885440009976,0
4,1515,32,0.6,0.08040484093718345,0
5,1817,35,0.667,0.15689742757080216,0
3,1763,41,1.05,0.08677488381158875,0
5,1034,36,0.286,0.04617737588927861,0
4,2030,21,0.4,-0.393842269533005,0
5,1515,33,0.435,0.03463287253123636,0
2,0,12,0.714,0.43302939731403906,1
2,1417,20,0.818,-0.001989509372370812,0
5,1219,27,2.0,-0.6700699097827323,0
5,1910,35,0.667,0.09335491465610184,0
4,2056,31,0.722,0.6216885440009976,0
5,0,29,1.636,0.056183978061028116,0
3,0,21,1.333,0.646945576409462,0
5,2037,29,0.933,0.03463287253123636,0
6,895,32,0.882,0.04617737588927861,0
5,1706,42,0.68,0.44934086834813863,0
3,2250,19,0.727,0.08446285639551444,0
6,1264,33,0.5,0.020920343480814136,0
6,931,21,1.1,0.13779705184279262,0
6,0,44,1.095,0.08144101046949255,0
6,1960,31,0.824,-0.582664263922166,0
4,1886,32,0.391,0.09335491465610184,0
2,706,24,3.0,0.14875912396672958,0
3,1273,36,1.118,0.016494808200763867,0
3,1901,38,1.0,0.5810910360786875,0
4,1951,29,0.611,0.0977524815035921,0
3,1836,38,1.533,0.5036919923898707,0
2,1527,42,0.355,0.09350761705478511,0
6,0,30,0.364,0.08677488381158875,0
3,2227,23,0.353,-0.031221667799538232,1
3,1300,29,1.417,0.9985339632540087,0
3,1662,28,1.545,-0.031221667799538232,0
3,2517,34,0.7,-0.031221667799538232,0
5,2100,26,0.733,-0.010579667137683392,0
6,1568,29,1.231,0.06155300354232953,0
6,2327,18,0.636,0.12203851839180267,0
2,2517,25,1.5,-0.031221667799538232,0
3,1128,20,0.667,0.1120319162200532,0
2,0,10,1.0,0.22275196790157675,1
3,1536,34,1.0,0.020920343480814136,0
5,1652,32,1.909,-0.001989509372370812,0
4,930,26,1.364,0.10971988880397891,0
5,1024,28,1.0,0.5036919923898707,0
2,1305,31,0.824,0.12740754387310407,0
3,1761,30,0.429,0.14875912396672958,0
3,2173,23,2.286,0.14875912396672958,0
5,0,53,0.828,0.6282685748455108,0
6,893,28,0.75,0.5810910360786875,0
2,0,20,0.25,0.004041966780675716,1
2,1836,47,0.88,0.07136008027791275,0
4,2517,32,1.0,0.04617737588927861,0
6,1072,22,1.444,0.5093922714705468,0
4,985,28,0.556,0.500347510811276,0
6,2107,24,1.0,-0.031221667799538232,0
5,2001,36,1.0,0.14875912396672958,0
6,1701,25,1.273,0.09335491465610184,0
5,738,33,0.571,0.1755744291347535,0
5,1976,24,3.0,-0.031221667799538232,0
4,1594,37,0.762,0.04617737588927861,0
3,1676,52,0.529,0.07249544909512769,0
5,1598,42,0.556,0.09719954392048245,0
3,1423,42,0.75,0.07136008027791275,0
1,900,21,0.615,0.5810910360786875,1
4,1687,22,1.444,0.15689742757080216,0
2,0,27,0.421,0.04617737588927861,1
3,0,24,0.5,0.1443770826873057,1
2,1779,37,0.947,0.3977657627338251,0
2,2395,48,0.714,0.08446285639551444,0
4,1649,26,1.167,0.5810910360786875,0
3,1359,26,1.364,-0.539964997079935,0
5,2207,40,1.105,0.020920343480814136,0
5,1272,22,1.0,0.14875912396672958,0
3,1304,38,0.407,0.04617737588927861,0
4,1666,18,0.8,0.020920343480814136,0
4,1025,12,0.714,0.500347510811276,1
2,1740,21,2.0,0.004041966780675716,0
4,1301,27,1.455,0.15689742757080216,0
2,1833,17,0.7,0.07136008027791275,1
2,2517,30,0.667,0.08144101046949255,1
6,1289,49,0.69,-0.031221667799538232,0
5,1125,34,1.615,0.932679422923234,0
6,709,27,0.588,-0.05416778687506774,0
2,1054,17,0.545,0.9985339632540087,1
3,1495,15,0.875,0.5810910360786875,0
4,1152,26,1.6,0.5810910360786875,0
1,0,23,0.353,0.44878793076502893,1
5,1650,20,0.538,0.04617737588927861,0
2,1082,22,1.444,-0.40575617371961425,0
1,0,18,0.385,0.932679422923234,1
3,1434,18,3.5,0.09335491465610184,0
6,0,32,0.684,0.500347510811276,0
5,1711,21,1.625,0.500347510811276,0
3,0,14,0.273,0.5329241508170381,1
3,1999,33,1.538,0.3977657627338251,0
2,1274,41,0.783,0.07136008027791275,0
6,2221,21,0.235,-0.001989509372370812,1
2,1376,45,0.607,0.049585596241942746,0
3,1682,36,1.118,0.1449300202704154,0
5,837,29,1.417,0.932679422923234,0
5,2217,41,0.783,0.932679422923234,0
5,1250,31,0.632,0.932679422923234,0
3,1707,40,0.538,0.020920343480814136,0
2,0,37,0.423,0.08677488381158875,0
2,930,28,1.154,0.932679422923234,0
3,1047,33,1.2,0.09335491465610184,0
5,0,29,0.611,0.26179120306432735,0
5,2223,42,1.0,0.04617737588927861,0
2,1381,11,0.833,0.020920343480814136,1
5,2169,27,0.5,0.6282685748455108,0
4,1912,36,0.565,0.08144101046949255,0
4,1297,55,0.719,0.3977657627338251,0
4,1926,22,1.75,-0.4900891180164646,0
3,2177,23,1.875,0.5127367530491413,0
3,2376,23,1.875,0.10059223870508015,0
3,1355,49,0.581,0.12350209155826512,0
3,1785,24,0.714,0.1120319162200532,0
6,1844,32,0.882,0.5558340036702231,0
4,2462,29,0.812,0.04617737588927861,0
4,2517,26,0.444,0.43302939731403906,1
3,2321,32,0.6,0.5810910360786875,0
5,1571,38,1.0,0.5810910360786875,0
6,1692,22,0.692,0.03463287253123636,0
2,537,13,0.182,0.500347510811276,1
3,1710,49,1.227,0.5036919923898707,0
6,2439,34,1.833,0.5810910360786875,0
5,1173,32,0.6,0.6941231151762853,0
5,1648,34,0.789,0.14875912396672958,0
4,2517,32,1.462,0.04617737588927861,0
6,0,39,1.167,0.46362030306459967,0
6,1375,38,0.583,0.5662020511420507,0
4,1465,31,0.722,-0.001989509372370812,0
6,2274,47,0.679,0.6216885440009976,0
3,793,27,0.286,0.1959366627335528,0
3,1411,35,1.188,0.5810910360786875,0
4,1403,39,0.444,0.646945576409462,0
5,1955,28,1.0,0.07136008027791275,0
6,1794,37,0.762,-0.3636950926308417,0
4,2381,23,1.3,0.6282685748455108,0
6,1576,37,1.312,0.5810910360786875,0
3,1980,34,0.619,-0.031221667799538232,0
3,1617,25,0.667,0.09335491465610184,0
6,1915,27,0.588,0.08144101046949255,0
3,1480,37,0.947,0.04617737588927861,0
6,1162,26,1.0,0.09335491465610184,0
5,1233,29,1.636,0.6282685748455108,0
6,1288,33,0.5,-0.5574072315137015,0
5,1346,57,0.727,0.44878793076502893,0
5,2233,27,0.929,0.5558340036702231,0
5,1306,39,0.444,0.1372146206086874,0
