Total_Relationship_Count,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,L-3,Attrition_Flag
5,777,42,1.625,0.6282685748455108,0
6,864,33,3.714,0.1120319162200532,0
3,2517,20,2.333,0.09389385188958065,0
5,0,28,2.5,0.1959366627335528,0
3,1247,24,0.846,0.3977657627338251,0
6,1677,32,0.882,0.03463287253123636,0
5,1467,42,0.68,-0.3636950926308417,0
5,972,27,1.7,-0.4831552174084311,0
6,2362,27,0.929,0.08565504056244021,0
4,1291,21,1.625,0.004041966780675716,0
6,1157,21,0.909,-0.001989509372370812,0
5,1800,27,0.929,-0.49391822171277877,0
4,680,18,1.571,0.932679422923234,0
3,1560,23,0.353,0.14729555080026716,0
6,1669,22,0.833,0.1120319162200532,0
5,0,18,1.571,0.16644677903585478,0
6,1362,38,0.9,0.932679422923234,0
4,2517,24,1.667,0.09335491465610184,0
2,0,22,1.2,0.5165841380106979,0
2,578,28,0.474,0.03463287253123636,0
3,2517,33,1.2,0.47035303630779607,0
5,0,32,1.0,0.6282685748455108,0
3,0,28,1.333,0.1372146206086874,0
4,1435,27,0.8,0.5036919923898707,0
4,2517,35,0.25,0.056183978061028116,0
6,2200,32,0.6,-0.44101980829982823,0
2,2363,40,0.6,0.1120319162200532,0
4,978,25,1.083,-0.001989509372370812,0
4,1753,27,1.25,0.6941231151762853,0
2,0,15,0.5,0.0365451349845979,1
2,2102,26,0.733,0.13779705184279262,0
6,1468,28,0.556,0.21461366429750417,0
2,1107,17,2.4,0.09335491465610184,0
6,1330,15,2.0,0.020353437814775294,0
6,1528,35,0.522,0.07136008027791275,0
3,1932,24,1.182,0.22275196790157675,0
6,2517,23,1.875,0.1120319162200532,0
6,1823,23,0.353,-0.5454933273270922,0
6,1899,35,0.4,-0.031221667799538232,0
4,1695,41,1.412,0.09335491465610184,0
6,1533,29,0.526,-0.43101320612807875,0
5,0,32,0.6,0.21461366429750417,0
4,837,14,1.8,0.6941231151762853,0
4,1953,35,2.182,0.5695465327206453,0
4,0,34,0.619,0.46362030306459967,0
5,2440,20,1.222,0.03327412520784317,0
5,1200,30,0.304,0.3977657627338251,0
2,1628,18,0.385,0.004041966780675716,1
4,1960,22,1.0,0.12740754387310407,0
5,2053,26,0.733,-0.023535654463660773,0
3,1879,15,1.5,0.1120319162200532,0
3,0,34,0.789,0.14107139065640395,0
2,926,37,0.542,0.09719954392048245,0
5,2440,30,0.667,0.1959366627335528,0
5,865,21,1.625,0.1286185492363158,0
5,1674,35,0.346,-0.010579667137683392,0
6,1294,37,1.056,0.03463287253123636,0
6,895,18,1.571,0.03463287253123636,0
4,1559,25,0.786,0.5695465327206453,0
4,1196,24,1.0,0.1449300202704154,0
3,1023,13,0.625,0.08677488381158875,0
4,1540,47,0.382,0.9985339632540087,0
4,0,24,0.846,0.15920945498687644,0
4,2090,30,0.765,-0.3952478398938812,0
5,1985,16,0.778,0.04617737588927861,0
5,2517,16,2.2,0.43302939731403906,0
2,797,32,1.0,0.16360702183436673,0
3,788,27,0.929,0.46362030306459967,0
5,1186,42,1.211,-0.481950814412392,0
1,0,18,0.8,0.5810910360786875,1
3,0,16,0.455,0.14875912396672958,1
6,2117,31,2.875,0.1120319162200532,0
4,1228,30,1.308,-0.001989509372370812,0
4,1104,39,0.625,0.5036919923898707,0
5,0,22,0.467,0.5695465327206453,0
2,0,22,0.571,0.40681052339309576,0
6,1540,29,1.231,0.26179120306432735,0
3,0,28,0.75,0.43302939731403906,0
6,0,29,0.812,0.9985339632540087,0
6,618,27,0.8,0.07249544909512769,0
4,0,24,2.429,0.043782459033576214,0
2,1954,29,0.706,-0.5926708660939155,0
3,2071,38,2.167,0.1959366627335528,0
6,2114,24,0.263,-0.5574072315137015,0
